exp_index,x0,n_shots,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50
0,1.4,50,46,56,48,49,61,58,52,55,76,60,70,54,64,50,53,51,53,66,46,60,57,58,52,53,50,66,59,61,67,62,46,41,51,51,53,54,67,54,61,62,52,60,46,55,61,67,58,61,52,41
1,1.98367347,50,52,10,60,63,56,63,9,59,59,67,64,53,68,66,55,8,3,6,66,37,48,60,6,55,58,52,7,59,57,66,56,53,51,47,5,66,56,13,7,5,62,68,60,52,52,4,4,58,47,63
2,2.56734694,50,56,72,8,54,46,3,6,6,10,58,51,61,57,60,56,52,48,3,43,3,54,8,56,10,56,57,63,54,54,58,45,53,49,43,8,56,58,51,9,65,3,4,5,44,9,52,6,58,3,11
3,3.15102041,50,56,10,56,44,7,4,42,5,9,51,59,65,10,6,6,7,11,7,54,62,57,66,48,54,48,51,55,65,7,5,8,62,56,58,52,53,8,7,8,44,72,8,9,55,7,52,68,7,51,7
4,3.73469388,50,8,10,66,8,5,8,8,5,11,4,5,8,59,4,3,59,8,54,62,12,53,62,4,8,56,5,54,8,4,11,48,8,12,8,50,52,3,55,10,7,7,53,7,63,8,6,6,50,6,11
5,4.31836735,50,4,52,65,4,6,7,5,42,4,12,56,62,8,3,10,54,53,5,5,6,51,8,3,4,9,2,6,7,49,5,7,4,6,13,14,7,4,5,13,55,7,6,7,2,58,6,6,6,3,8
6,4.90204082,50,8,5,6,5,5,4,10,11,2,7,7,11,6,2,8,10,8,42,9,12,6,8,8,5,9,9,56,6,3,61,3,8,5,6,7,10,6,1,64,2,50,4,6,11,7,7,10,5,9,3
7,5.48571429,50,4,13,4,8,4,9,6,8,6,11,8,6,5,4,16,8,5,3,4,6,6,3,6,10,7,5,10,4,3,8,9,4,5,7,48,10,51,7,11,6,6,3,7,6,8,18,10,9,7,12
8,6.06938776,50,11,4,5,5,4,5,6,13,12,6,11,10,11,7,3,4,10,11,10,5,7,12,3,11,10,6,6,8,6,12,8,5,10,5,9,6,5,8,10,5,7,11,7,1,6,7,10,6,9,10
9,6.65306122,50,7,8,8,8,12,9,7,7,6,7,8,8,4,5,6,4,5,13,6,5,5,1,8,7,10,5,9,12,6,7,7,15,6,11,10,10,7,9,3,4,15,5,11,10,5,7,6,51,8,2
10,7.23673469,50,9,8,3,7,5,8,15,7,3,9,6,12,3,8,8,5,4,6,9,7,9,8,5,4,5,9,10,9,5,6,2,65,5,8,7,4,7,7,5,7,5,3,52,6,6,10,8,7,5,7
11,7.82040816,50,8,7,0,7,14,13,9,5,5,4,7,4,10,36,4,6,2,14,8,11,9,59,7,7,7,2,5,7,4,6,5,7,5,7,11,3,5,12,7,5,10,9,7,10,5,5,9,7,6,4
12,8.40408163,50,41,9,3,61,63,7,7,5,6,4,51,6,45,6,7,44,10,8,63,48,64,5,10,8,7,60,10,6,57,60,57,4,8,7,68,59,48,2,4,5,58,10,6,6,54,11,12,4,54,5
13,8.9877551,50,9,5,59,56,12,56,48,62,62,67,4,6,7,50,12,45,3,7,2,43,7,50,10,8,4,59,54,48,6,5,65,4,6,62,6,7,46,10,7,14,52,8,11,57,7,7,5,8,6,4
14,9.57142857,50,9,55,58,4,60,61,60,5,59,53,11,45,11,46,5,8,4,49,11,3,8,56,58,8,4,5,52,45,3,5,50,69,5,58,9,54,6,47,49,56,4,11,12,51,10,56,7,48,10,10
15,10.15510204,50,62,47,13,5,6,54,5,57,68,57,39,66,48,58,5,3,31,60,55,6,52,46,69,44,64,62,64,64,59,41,55,56,12,54,7,6,79,6,66,8,61,57,47,59,66,6,64,5,83,4
16,10.73877551,50,59,43,43,43,53,58,60,64,61,47,61,54,7,58,5,49,54,58,4,76,66,7,56,65,5,48,46,41,46,61,63,59,56,61,70,10,46,56,51,5,49,46,74,4,12,58,62,64,56,62
17,11.32244898,50,52,48,55,58,63,57,47,44,52,57,41,6,58,48,8,52,68,45,58,65,47,52,53,5,33,6,68,57,75,58,62,64,55,55,48,63,57,70,63,64,42,57,51,57,56,45,56,42,58,52
18,11.90612245,50,41,61,64,61,55,58,5,57,50,58,58,50,62,51,47,72,46,48,42,51,40,53,57,57,73,45,66,54,50,46,55,60,55,43,53,47,49,70,50,58,69,54,63,67,53,58,59,51,55,60
